Ccode,Nation,Christianity,Judaism,Islam,Buddhism,Zoroastrian,Hindu,Sikh,Shinto,Bahai,Taoism,Jain,Confucianism,Syncretic,Animist,Non,Other,Major
211,BEL,0.8828,0.00335,0.017507143,0.0009,0,9.29E-05,4.29E-05,0,8.57E-05,0,0,0.000214286,0.000128571,7.86E-05,0.0829,0.011907143,Christianity
212,LUX,0.956535714,0.001942857,0.007178571,0,0,0,0,0,0.002114286,0,0,0,0,0,0.029507143,0.002735714,Christianity
220,FRN,0.821385714,0.009928571,0.03435,0.003764286,0,0.000378571,0,0,5.00E-05,0,0,0,0.001135714,0.000992857,0.12215,0.005842857,Christianity
221,MNC,0.85605,0.015675,0.01785,0,0,0,0,0,0.0004,0,0,0,0,0,0.09455,0.0155,Christianity
223,LIE,0.89382,0.0011,0.0434,0.00122,0,0,0,0,0.00092,0,0,0,0,0,0.03642,0.02308,Christianity
225,SWZ,0.931742857,0.003128571,0.015328571,0.00085,0,0.0009,0,0,0.000242857,0,0,0,0,0,0.044971429,0.002835714,Christianity
230,SPN,0.946842857,0.000435714,0.005864286,0.00015,0,0,0,0,8.57E-05,0,0,0,8.57E-05,0,0.04475,0.00175,Christianity
232,AND,0.926575,0.00095,0.006775,0,0,0.001625,0,0,0.000375,0,0,0,0,0,0.06305,0.000625,Christianity
235,POR,0.939464286,0.000128571,0.001857143,0.001928571,0,0.000135714,0,0,0.000128571,0,0,0,0.000492857,2.86E-05,0.034678571,0.021142857,Christianity
255,GMY,0.75775,0.002216667,0.03395,0.00115,0,0.0007,0.000266667,0,0.0001,0,0,0,3.33E-05,0,0.183783333,0.020083333,Christianity
260,GFR,0.9436875,0.0005375,0.01665,1.25E-05,0,0,0,0,2.50E-05,0,0,0,0,0,0.033025,0.006075,Christianity
265,GDR,0.734342857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225471429,0.040185714,Christianity
290,POL,0.953892857,0.001607143,4.29E-05,7.14E-06,0,0,0,0,0,0,0,0,0,0,0.040178571,0.004228571,Christianity
305,AUS,0.881075,0.001183333,0.017841667,9.17E-05,0,4.17E-05,8.33E-06,0,1.00E-04,0,0,8.33E-06,1.67E-05,0,0.075641667,0.023983333,Christianity
310,HUN,0.807857143,0.00835,0.000542857,9.29E-05,0,0,0,0,0,0,0,0,0,0,0.161728571,0.021414286,Christianity
315,CZE,0.75765,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0.23796,0.00285,Christianity
316,CZR,0.268875,0.000575,0.0002,0.0005,0,5.00E-05,0,0,2.50E-05,0,0,0,7.50E-05,0,0.673325,0.056375,Non
317,SLO,0.78005,0.00035,7.50E-05,0,0,0,0,0,0.0001,0,0,0,0,0,0.12355,0.095825,Christianity
325,ITA,0.88385,0.000721429,0.006164286,0.000178571,0,0.0001,2.86E-05,0,8.57E-05,0,0,0,0.000157143,0,0.106764286,0.001957143,Christianity
331,SNM,0.918775,0,0.0002,0,0,0,0,0,0.0088,0,0,0,0,0,0.062925,0.009325,Christianity
338,MLT,0.98126,0.00015,0.00253,0.0002,0,0.00012,0,0,0.00043,0,0,0,0,0,0.00926,0.00599,Christianity
339,ALB,0.28625,0.000164286,0.549842857,0,0,0,0,0,0.000771429,0,0,0,0,0,0.161571429,0.001392857,Islam
341,MNG,0.7593,0,0.1911,0.0002,0,0,0,0,0,0,0,0,0,0,0.0451,0.0043,Christianity
343,MAC,0.63835,0.000125,0.337175,0,0,0,0,0,0,0,0,0,0,0,0.0238,0.00055,Christianity
344,CRO,0.915625,0.000125,0.014875,0,0,0,0,0,0,0,0,0,0,0,0.056325,0.01305,Christianity
345,YUG,0.797128571,0.000971429,0.103907143,0,0,0,0,0,1.43E-05,0,0,0,0,5.00E-05,0.094842857,0.0031,Christianity
346,BOS,0.511775,0.00025,0.421075,0,0,0,0,0,0,0,0,0,0,0,0.0517,0.0152,Christianity
347,KOS,0.0369,0,0.9561,0,0,0,0,0,0,0,0,0,0,0,0.0059,0.0011,Islam
349,SLV,0.775125,0.000125,0.0264,0,0,0,0,0,5.00E-05,0,0,0,0,0,0.146725,0.051575,Christianity
