Year,Ccode,Nation,Christianity,Judaism,Islam_Sunni,Islam_Shia,Islam,Buddhism,Zoroastrian,Hindu,Sikh,Shinto,Bahai,Taoism,Jain,Confucianism,Syncretic,Animist,Non,Other
1990,255,GMY,0.7879,0.0006,0,0,0.0359,0.0009,0,0.0006,0,0,0.0002,0,0,0,0.0001,0,0.1683,0.0056
1995,255,GMY,0.746,0.0017,0,0,0.0399,0.001,0,0.0008,0.0002,0,0.0001,0,0,0,0.0001,0,0.1882,0.022
2000,255,GMY,0.6851,0.0023,0,0,0.0365,0.001,0,0.0008,0.0008,0,0.0001,0,0,0,0,0,0.2651,0.0084
2005,255,GMY,0.6597,0.0023,0.0303,0.0027,0.0424,0.001,0,0.0008,0.0003,0,0.0001,0,0,0,0,0,0.2311,0.0623
2010,255,GMY,0.7078,0.0015,0.0355,0.0034,0.049,0.003,0,0.0012,0.0003,0,0.0001,0,0,0,0,0,0.23,0.0071
1955,260,GFR,0.9575,0.0003,0,0,0.0054,0,0,0,0,0,0,0,0,0,0,0,0.02,0.0167
1960,260,GFR,0.9656,0.0004,0,0,0.0081,0,0,0,0,0,0,0,0,0,0,0,0.0235,0.0024
1965,260,GFR,0.9667,0.0007,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0.02,0.0006
1970,260,GFR,0.9457,0.001,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0.03,0.0073
1975,260,GFR,0.94,0.0008,0,0,0.0199,0,0,0,0,0,0,0,0,0,0,0,0.0333,0.0061
1980,260,GFR,0.9367,0.0005,0,0,0.0242,0.0001,0,0,0,0,0.0002,0,0,0,0,0,0.0374,0.0009
1985,260,GFR,0.9275,0.0004,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0.04,0.0082
1990,260,GFR,0.9098,0.0002,0,0,0.0236,0,0,0,0,0,0,0,0,0,0,0,0.06,0.0064
1955,265,GDR,0.8427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0997,0.0576
1960,265,GDR,0.8266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1397,0.0337
1965,265,GDR,0.7862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1779,0.036
1970,265,GDR,0.7235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2137,0.0628
1975,265,GDR,0.6785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2606,0.0609
1980,265,GDR,0.6571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316,0.0268
1985,265,GDR,0.6258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3707,0.0035
1945,290,POL,0.94,0.0103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454,0.0042
1950,290,POL,0.9501,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0435,0.0003
1955,290,POL,0.9506,0.0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401,0.0074
1960,290,POL,0.9528,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367,0.0089
1965,290,POL,0.9559,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342,0.0088
1970,290,POL,0.9687,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305,0.0001
1975,290,POL,0.9698,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295,0.0002
1980,290,POL,0.9699,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297,0
1985,290,POL,0.9663,0.0002,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0.0282,0.0052
1990,290,POL,0.972,0.0001,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0.0273,0.0005
1995,290,POL,0.9665,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0.0324,0.0009
2000,290,POL,0.945,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0049
2005,290,POL,0.9423,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,0.055,0.0026
2010,290,POL,0.9046,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0.08,0.0152
1955,305,AUS,0.9565,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381,0.0038
1960,305,AUS,0.9554,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377,0.0053
1965,305,AUS,0.95,0.0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.0086
1970,305,AUS,0.9547,0.0013,0,0,0.0024,0.0001,0,0,0,0,0.0003,0,0,0,0,0,0.0409,0.0003
1975,305,AUS,0.9457,0.0013,0,0,0.0039,0.0001,0,0,0,0,0.0003,0,0,0,0,0,0.047,0.0018
1980,305,AUS,0.9029,0.0009,0,0,0.0102,0,0,0,0,0,0,0,0,0,0,0,0.0598,0.0262
1985,305,AUS,0.9274,0.0012,0,0,0.0122,0.0002,0,0,0,0,0.0003,0,0,0,0,0,0.0585,0.0003
1990,305,AUS,0.8324,0.0009,0,0,0.0204,0,0,0,0,0,0,0,0,0,0,0,0.0862,0.0601
1995,305,AUS,0.8695,0.0011,0,0,0.0301,0.0007,0,0.0005,0.0001,0,0.0003,0,0,0.0001,0.0002,0,0.087,0.0104
2000,305,AUS,0.785,0.001,0,0,0.0422,0,0,0,0,0,0,0,0,0,0,0,0.1199,0.0518
2005,305,AUS,0.7634,0.001,0,0,0.0452,0,0,0,0,0,0,0,0,0,0,0,0.1384,0.0519
2010,305,AUS,0.73,0.001,0,0,0.0475,0,0,0,0,0,0,0,0,0,0,0,0.1542,0.0673
1945,310,HUN,0.8984,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0803,0.0043
1950,310,HUN,0.8984,0.0143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0803,0.0069
1955,310,HUN,0.8883,0.0119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0993,0.0005
1960,310,HUN,0.8779,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1061,0.006
1965,310,HUN,0.8641,0.0094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1193,0.0072
1970,310,HUN,0.8414,0.0087,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0.1416,0.008
1975,310,HUN,0.8121,0.0088,0,0,0.0005,0,0,0,0,0,0,0,0,0,0,0,0.1539,0.0246
1980,310,HUN,0.7868,0.0089,0,0,0.0009,0.0001,0,0,0,0,0,0,0,0,0,0,0.1661,0.0373
1985,310,HUN,0.7842,0.0092,0,0,0.0012,0.0001,0,0,0,0,0,0,0,0,0,0,0.183,0.0223
1990,310,HUN,0.777,0.0096,0,0,0.0016,0.0001,0,0,0,0,0,0,0,0,0,0,0.202,0.0096
1995,310,HUN,0.7637,0.0055,0,0,0.002,0.0002,0,0,0,0,0,0,0,0,0,0,0.2201,0.0085
2000,310,HUN,0.7436,0.0013,0,0,0.0003,0.0005,0,0,0,0,0,0,0,0,0,0,0.2052,0.0491
2005,310,HUN,0.7005,0.0012,0,0,0.0004,0.0003,0,0,0,0,0,0,0,0,0,0,0.2354,0.0623
2010,310,HUN,0.6736,0.0011,0,0,0.0005,0,0,0,0,0,0,0,0,0,0,0,0.2716,0.0532
1945,315,CZE,0.7486,0.0035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2477,0.0001
1950,315,CZE,0.821,0.0033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1719,0.0037
1955,315,CZE,0.7852,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.0023
1960,315,CZE,0.7651,0.0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.0032
1965,315,CZE,0.7453,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.0036
1970,315,CZE,0.7581,0.0009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.0009
1975,315,CZE,0.7555,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.0037
1980,315,CZE,0.7544,0.0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.0049
1985,315,CZE,0.7359,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.0035
1990,315,CZE,0.7074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.0026
1995,316,CZR,0.2978,0.0007,0,0,0.0001,0.001,0,0,0,0,0.0001,0,0,0,0.0003,0,0.66,0.04
2000,316,CZR,0.3025,0.0004,0,0,0.0004,0.0007,0,0.0001,0,0,0,0,0,0,0,0,0.5904,0.1056
2005,316,CZR,0.2614,0.0005,0,0,0.0002,0.0003,0,0.0001,0,0,0,0,0,0,0,0,0.6854,0.052
2010,316,CZR,0.2138,0.0007,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0.7575,0.0279
1995,317,SLO,0.7269,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0977,0.1752
2000,317,SLO,0.8389,0.0004,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0.1296,0.0309
2005,317,SLO,0.7996,0.0004,0,0,0.0001,0,0,0,0,0,0.0002,0,0,0,0,0,0.1325,0.0672
2010,317,SLO,0.7548,0.0004,0,0,0.0001,0,0,0,0,0,0.0002,0,0,0,0,0,0.1344,0.11
1945,325,ITA,0.9818,0.0011,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0.0168,0.0002
1950,325,ITA,0.9643,0.0009,0,0,0.0001,0,0,0,0,0,0.0001,0,0,0,0,0,0.0345,0.0001
1955,325,ITA,0.9449,0.0008,0,0,0.0003,0,0,0,0,0,0.0001,0,0,0,0,0,0.0538,0.0001
1960,325,ITA,0.9259,0.0008,0,0,0.0005,0,0,0,0,0,0.0001,0,0,0,0,0,0.0726,0.0001
1965,325,ITA,0.9021,0.0007,0,0,0.0006,0,0,0,0,0,0.0001,0,0,0,0,0,0.0964,0
1970,325,ITA,0.8833,0.0007,0,0,0.0008,0,0,0,0,0,0.0001,0,0,0,0,0,0.1149,0.0002
1975,325,ITA,0.8684,0.0007,0,0,0.0033,0,0,0,0,0,0.0001,0,0,0,0,0,0.121,0.0065
1980,325,ITA,0.864,0.0007,0,0,0.0057,0,0,0,0,0,0.0001,0,0,0,0,0,0.1282,0.0013
1985,325,ITA,0.855,0.0007,0,0,0.0081,0.0001,0,0,0,0,0.0001,0,0,0,0,0,0.1359,0.0003
1990,325,ITA,0.8441,0.0007,0,0,0.0104,0.0001,0,0,0,0,0.0001,0,0,0,0.0007,0,0.1436,0.0003
1995,325,ITA,0.8328,0.0007,0,0,0.0112,0.0001,0,0,0,0,0.0001,0,0,0,0.0007,0,0.1536,0.0008
2000,325,ITA,0.8544,0.0005,0,0,0.0166,0.0011,0,0,0,0,0,0,0,0,0,0,0.1257,0.0018
2005,325,ITA,0.859,0.0005,0,0,0.0171,0.001,0,0.0013,0,0,0,0,0,0,0,0,0.1109,0.0102
2010,325,ITA,0.7939,0.0006,0,0,0.0116,0.0001,0,0.0001,0.0004,0,0.0001,0,0,0,0.0008,0,0.1868,0.0055
1995,331,SNM,0.912,0,0,0,0.0002,0,0,0,0,0,0.0079,0,0,0,0,0,0.07,0.01
2000,331,SNM,0.95,0,0,0,0.0002,0,0,0,0,0,0.0091,0,0,0,0,0,0.037,0.0037
2005,331,SNM,0.95,0,0,0,0.0002,0,0,0,0,0,0.0091,0,0,0,0,0,0.0387,0.002
2010,331,SNM,0.8631,0,0,0,0.0002,0,0,0,0,0,0.0091,0,0,0,0,0,0.106,0.0216
1965,338,MLT,0.9951,0.0002,0,0,0,0,0,0.0002,0,0,0.0003,0,0,0,0,0,0.0043,0
1970,338,MLT,0.9944,0.0002,0,0,0,0,0,0.0002,0,0,0.0003,0,0,0,0,0,0.0049,0
1975,338,MLT,0.9921,0.0002,0,0,0,0,0,0.0002,0,0,0.0004,0,0,0,0,0,0.0053,0.0019
1980,338,MLT,0.9881,0.0002,0,0,0,0,0,0.0002,0,0,0.0004,0,0,0,0,0,0.0054,0.0057
1985,338,MLT,0.9842,0.0001,0,0,0,0,0,0.0001,0,0,0.0005,0,0,0,0,0,0.0055,0.0095
1990,338,MLT,0.9891,0.0001,0,0,0.0035,0,0,0.0001,0,0,0.0006,0,0,0,0,0,0.0056,0.0008
1995,338,MLT,0.9839,0.0001,0,0,0.0029,0,0,0.0001,0,0,0.0006,0,0,0,0,0,0.0105,0.0017
2000,338,MLT,0.9544,0.0002,0,0,0.0019,0,0,0,0,0,0.0001,0,0,0,0,0,0.02,0.0233
2005,338,MLT,0.9586,0.0001,0,0,0.007,0.002,0,0.0001,0,0,0.0006,0,0,0,0,0,0.0161,0.0154
2010,338,MLT,0.9727,0.0001,0,0,0.01,0,0,0,0,0,0.0005,0,0,0,0,0,0.015,0.0016
1945,339,ALB,0.3346,0.0005,0,0,0.664,0,0,0,0,0,0,0,0,0,0,0,0.0003,0.0006
1950,339,ALB,0.3374,0.0004,0,0,0.658,0,0,0,0,0,0,0,0,0,0,0,0.0041,0
1955,339,ALB,0.3154,0.0003,0,0,0.6222,0,0,0,0,0,0,0,0,0,0,0,0.06,0.0021
1960,339,ALB,0.2808,0.0002,0,0,0.5689,0,0,0,0,0,0,0,0,0,0,0,0.15,0.0001
1965,339,ALB,0.2668,0.0001,0,0,0.5214,0,0,0,0,0,0,0,0,0,0,0,0.21,0.0016
1970,339,ALB,0.276,0.0001,0,0,0.4838,0,0,0,0,0,0,0,0,0,0,0,0.24,0
1975,339,ALB,0.292,0.0001,0,0,0.4548,0,0,0,0,0,0,0,0,0,0,0,0.2531,0
1980,339,ALB,0.305,0.0001,0,0,0.4309,0,0,0,0,0,0.0007,0,0,0,0,0,0.2632,0.0001
1985,339,ALB,0.298,0.0001,0,0,0.43,0,0,0,0,0,0.0011,0,0,0,0,0,0.2698,0.001
1990,339,ALB,0.2999,0.0001,0,0,0.42,0,0,0,0,0,0.0014,0,0,0,0,0,0.2742,0.0045
1995,339,ALB,0.2907,0.0001,0,0,0.54,0,0,0,0,0,0.0016,0,0,0,0,0,0.1675,0.0002
2000,339,ALB,0.23,0.0001,0.629,0.03,0.659,0,0,0,0,0,0.0016,0,0,0,0,0,0.1092,0.0001
2005,339,ALB,0.2665,0.0001,0.5868,0.028,0.6148,0,0,0,0,0,0.0022,0,0,0,0,0,0.1099,0.0065
2010,339,ALB,0.2144,0,0.6,0.03,0.63,0,0,0,0,0,0.0022,0,0,0,0,0,0.1507,0.0027
2010,341,MNG,0.7593,0,0,0,0.1911,0.0002,0,0,0,0,0,0,0,0,0,0,0.0451,0.0043
1995,343,MAC,0.6195,0.0005,0,0,0.3354,0,0,0,0,0,0,0,0,0,0,0,0.0445,0.0001
2000,343,MAC,0.6515,0,0.3333,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0.0148,0.0004
2005,343,MAC,0.645,0,0.338,0,0.338,0,0,0,0,0,0,0,0,0,0,0,0.0169,0.0001
2010,343,MAC,0.6374,0,0.342,0,0.342,0,0,0,0,0,0,0,0,0,0,0,0.019,0.0016
1995,344,CRO,0.8972,0.0002,0,0,0.0182,0,0,0,0,0,0,0,0,0,0,0,0.0732,0.0112
2000,344,CRO,0.9289,0.0001,0.0128,0,0.0128,0,0,0,0,0,0,0,0,0,0,0,0.0449,0.0133
2005,344,CRO,0.9227,0.0001,0.0138,0,0.0138,0,0,0,0,0,0,0,0,0,0,0,0.0507,0.0127
2010,344,CRO,0.9137,0.0001,0.0147,0,0.0147,0,0,0,0,0,0,0,0,0,0,0,0.0565,0.015
1945,345,YUG,0.8064,0.0046,0,0,0.1044,0,0,0,0,0,0,0,0,0,0,0,0.08,0.0045
1950,345,YUG,0.777,0.0017,0,0,0.1099,0,0,0,0,0,0,0,0,0,0,0,0.105,0.0064
1955,345,YUG,0.7491,0.0015,0,0,0.1189,0,0,0,0,0,0,0,0,0,0,0,0.126,0.0046
1960,345,YUG,0.7605,0.0013,0,0,0.1196,0,0,0,0,0,0,0,0,0,0,0,0.1185,0.0001
1965,345,YUG,0.7672,0.0011,0,0,0.1191,0,0,0,0,0,0,0,0,0,0,0,0.1124,0.0001
1970,345,YUG,0.7755,0.001,0,0,0.1197,0,0,0,0,0,0,0,0,0,0,0.0001,0.1036,0.0001
1975,345,YUG,0.7708,0.0007,0,0,0.1198,0,0,0,0,0,0,0,0,0,0,0.0001,0.1047,0.0039
1980,345,YUG,0.7765,0.0004,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0.0001,0.1006,0.0024
1985,345,YUG,0.7541,0.0003,0,0,0.1192,0,0,0,0,0,0,0,0,0,0,0.0001,0.1258,0.0006
1990,345,YUG,0.7287,0.0002,0,0,0.1191,0,0,0,0,0,0.0001,0,0,0,0,0.0001,0.15,0.0018
1995,345,YUG,0.7476,0.0005,0,0,0.19,0,0,0,0,0,0.0001,0,0,0,0,0.0002,0.06,0.0016
2000,345,YUG,0.9171,0.0001,0.0272,0.0048,0.032,0,0,0,0,0,0,0,0,0,0,0,0.0442,0.0067
2005,345,YUG,0.9171,0.0001,0.0272,0.0048,0.032,0,0,0,0,0,0,0,0,0,0,0,0.0442,0.0067
2010,345,YUG,0.9122,0.0001,0.0264,0.0047,0.031,0,0,0,0,0,0,0,0,0,0,0,0.0528,0.0039
1995,346,BOS,0.51,0.0001,0.4,0,0.4037,0,0,0,0,0,0,0,0,0,0,0,0.0495,0.0367
2000,346,BOS,0.5,0.0003,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.076,0.0237
2005,346,BOS,0.5171,0.0003,0.4306,0,0.4306,0,0,0,0,0,0,0,0,0,0,0,0.052,0
2010,346,BOS,0.52,0.0003,0.45,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0.0293,0.0004
2010,347,KOS,0.0369,0,0,0,0.9561,0,0,0,0,0,0,0,0,0,0,0,0.0059,0.0011
1995,349,SLV,0.8958,0.0002,0,0,0.024,0,0,0,0,0,0.0002,0,0,0,0,0,0.0717,0.0081
2000,349,SLV,0.7959,0.0001,0.0242,0,0.0242,0,0,0,0,0,0,0,0,0,0,0,0.1016,0.0782
2005,349,SLV,0.7388,0.0001,0.0274,0,0.0274,0,0,0,0,0,0,0,0,0,0,0,0.1736,0.0601
2010,349,SLV,0.67,0.0001,0.03,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.24,0.0599
1945,350,GRC,0.9888,0.0012,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,350,GRC,0.9833,0.0008,0,0,0.0149,0,0,0,0,0,0,0,0,0,0,0,0,0.0009
1955,350,GRC,0.9847,0.0008,0,0,0.0139,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0002
1960,350,GRC,0.9853,0.0007,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0.0009,0.0001
1965,350,GRC,0.9844,0.0006,0,0,0.0139,0,0,0,0,0,0,0,0,0,0,0,0.0011,0
1970,350,GRC,0.9836,0.0004,0,0,0.0142,0,0,0,0,0,0,0,0,0,0,0,0.0013,0.0005
1975,350,GRC,0.9802,0.0004,0,0,0.0146,0,0,0,0,0,0,0,0,0,0,0,0.0019,0.0028
1980,350,GRC,0.9818,0.0004,0,0,0.0139,0,0,0,0,0,0,0,0,0,0,0,0.0021,0.0018
1985,350,GRC,0.97,0.0005,0,0,0.0151,0,0,0,0,0,0,0,0,0,0,0,0.0091,0.0053
1990,350,GRC,0.96,0.0006,0,0,0.0199,0,0,0,0,0,0.0001,0,0,0,0,0,0.0157,0.0036
1995,350,GRC,0.9587,0.0006,0,0,0.0225,0,0,0,0,0,0,0,0,0,0,0,0.0181,0.0001
2000,350,GRC,0.956,0.0005,0.0188,0.0019,0.0207,0,0,0,0,0,0,0,0,0,0,0,0.0178,0.005
2005,350,GRC,0.9528,0.0005,0.0189,0.0027,0.0216,0,0,0,0,0,0,0,0,0,0,0.0002,0.0225,0.0023
2010,350,GRC,0.9438,0.0005,0.0212,0.0028,0.024,0,0,0,0,0,0,0,0,0,0,0,0.0261,0.0056
1960,352,CYP,0.7888,0,0,0,0.1832,0,0,0,0,0,0,0,0,0,0,0,0,0.0279
1965,352,CYP,0.802,0,0,0,0.1895,0,0,0,0,0,0,0,0,0,0,0,0,0.0085
1970,352,CYP,0.7589,0,0,0,0.1877,0,0,0,0,0,0.0003,0,0,0,0,0,0.018,0.0351
1975,352,CYP,0.7723,0.0001,0,0,0.1881,0,0,0,0,0,0.0005,0,0,0,0,0,0.0195,0.0196
1980,352,CYP,0.7881,0.0001,0,0,0.19,0,0,0,0,0,0.0007,0,0,0,0,0,0.0211,0
1985,352,CYP,0.7647,0.0002,0,0,0.1978,0,0,0,0,0,0.0009,0,0,0,0,0,0.0233,0.0131
1990,352,CYP,0.7426,0.0002,0,0,0.19,0,0,0,0,0,0.001,0,0,0,0,0,0.0254,0.0408
1995,352,CYP,0.7082,0.0002,0,0,0.2122,0,0,0,0,0,0.001,0,0,0,0,0,0.034,0.0444
2000,352,CYP,0.7112,0.0002,0.2226,0,0.2226,0,0,0,0,0,0,0,0,0,0,0,0.0509,0.015
2005,352,CYP,0.7226,0.0002,0.213,0,0.213,0,0,0,0,0,0,0,0,0,0,0,0.0414,0.0228
2010,352,CYP,0.7453,0.0002,0.2027,0,0.2027,0,0,0,0,0,0,0,0,0,0,0,0.032,0.0198
1945,355,BUL,0.8571,0.0062,0,0,0.1348,0,0,0,0,0,0,0,0,0,0,0,0.0017,0.0002
1950,355,BUL,0.8363,0.0015,0,0,0.1112,0,0,0,0,0,0,0,0,0,0,0,0.051,0
1955,355,BUL,0.7987,0.0011,0,0,0.1014,0,0,0,0,0,0,0,0,0,0,0,0.0986,0.0001
1960,355,BUL,0.7641,0.0008,0,0,0.0909,0,0,0,0,0,0,0,0,0,0,0,0.144,0.0002
1965,355,BUL,0.7138,0.0008,0,0,0.1005,0,0,0,0,0,0,0,0,0,0,0,0.1837,0.0012
1970,355,BUL,0.7064,0.0008,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0.1808,0.0019
1975,355,BUL,0.7229,0.0008,0,0,0.1196,0,0,0,0,0,0,0,0,0,0,0,0.1524,0.0042
1980,355,BUL,0.7582,0.0008,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0.1095,0.0015
1985,355,BUL,0.7278,0.0006,0,0,0.1262,0,0,0,0,0,0.0001,0,0,0,0,0,0.1327,0.0126
1990,355,BUL,0.7657,0.0005,0,0,0.1235,0,0,0,0,0,0.0001,0,0,0,0,0,0.1009,0.0094
1995,355,BUL,0.7887,0.0005,0,0,0.13,0,0,0,0,0,0.0001,0,0,0,0,0,0.0744,0.0063
2000,355,BUL,0.836,0.0005,0.1069,0.0146,0.1215,0,0,0,0,0,0,0,0,0,0,0,0.0395,0.0025
2005,355,BUL,0.8273,0.0004,0.1162,0.0111,0.1273,0,0,0,0,0,0,0,0,0,0,0,0.044,0.001
2010,355,BUL,0.8227,0.0003,0.122,0.0069,0.1289,0,0,0,0,0,0,0,0,0,0,0,0.0473,0.0009
1995,359,MLD,0.9481,0.0116,0,0,0.0073,0,0,0,0,0,0.0002,0,0,0,0,0.0001,0.0326,0.0001
2000,359,MLD,0.9418,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342,0.009
2005,359,MLD,0.8686,0.002,0.0168,0,0.0168,0,0,0,0,0,0,0,0,0,0,0.0005,0.1021,0.0101
2010,359,MLD,0.8213,0.0011,0.036,0,0.036,0,0,0,0,0,0,0,0,0,0,0.001,0.1404,0.0003
1945,360,ROM,0.95,0.0096,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0.0237,0.0047
1950,360,ROM,0.9513,0.0085,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0.0288,0.0005
1955,360,ROM,0.9389,0.0084,0,0,0.0114,0,0,0,0,0,0,0,0,0,0,0,0.0409,0.0004
1960,360,ROM,0.9246,0.0078,0,0,0.0116,0,0,0,0,0,0,0,0,0,0,0,0.0537,0.0023
1965,360,ROM,0.9266,0.0074,0,0,0.0122,0,0,0,0,0,0,0,0,0,0,0,0.0526,0.0013
1970,360,ROM,0.9142,0.0054,0,0,0.0123,0,0,0,0,0,0,0,0,0,0,0,0.068,0.0001
1975,360,ROM,0.9028,0.0042,0,0,0.0095,0,0,0,0,0,0,0,0,0,0,0,0.0817,0.0018
1980,360,ROM,0.8918,0.0029,0,0,0.0069,0,0,0,0,0,0,0,0,0,0,0,0.0894,0.009
1985,360,ROM,0.9083,0.0018,0,0,0.0018,0,0,0,0,0,0,0,0,0,0,0,0.0877,0.0005
1990,360,ROM,0.9127,0.0004,0,0,0.002,0,0,0,0,0,0.0001,0,0,0,0,0,0.0847,0.0002
1995,360,ROM,0.9456,0.0004,0,0,0.0027,0,0,0,0,0,0.0001,0,0,0,0,0,0.0507,0.0006
2000,360,ROM,0.9847,0.0003,0.003,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0.0103,0.0017
2005,360,ROM,0.982,0.0004,0.0035,0,0.0035,0,0,0,0,0,0,0,0,0,0,0,0.0119,0.0022
2010,360,ROM,0.9751,0.0004,0.004,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0.0163,0.0042
1945,365,RUS,0.3356,0.0228,0,0,0.1443,0.0041,0,0,0,0,0,0,0,0,0,0.0073,0.4844,0.0016
1950,365,RUS,0.3411,0.0217,0,0,0.1444,0.0042,0,0,0,0,0,0,0,0,0,0.0068,0.4813,0.0006
1955,365,RUS,0.3352,0.0193,0,0,0.1453,0.004,0,0,0,0,0,0,0,0,0,0.006,0.4893,0.0009
1960,365,RUS,0.3289,0.017,0,0,0.14,0.0038,0,0,0,0,0,0,0,0,0,0.0052,0.496,0.009
1965,365,RUS,0.321,0.0152,0,0,0.1302,0.0037,0,0,0,0,0,0,0,0,0,0.0046,0.5007,0.0246
1970,365,RUS,0.3203,0.0139,0,0,0.1242,0.0036,0,0,0,0,0,0,0,0,0,0.0041,0.5147,0.0191
1975,365,RUS,0.2964,0.0128,0,0,0.1188,0.0031,0,0,0,0,0,0,0,0,0,0.0027,0.5365,0.0296
1980,365,RUS,0.2754,0.0118,0,0,0.1141,0.0027,0,0,0,0,0,0,0,0,0,0.0015,0.5579,0.0367
1985,365,RUS,0.2552,0.0108,0,0,0.1131,0.0023,0,0,0,0,0,0,0,0,0,0.0023,0.5758,0.0406
1990,365,RUS,0.2437,0.0101,0,0,0.1014,0.002,0,0,0,0,0.0001,0,0,0,0,0.0031,0.6087,0.0309
1995,365,RUS,0.2181,0.0061,0,0,0.1,0.0037,0,0,0,0,0.0001,0,0,0,0,0.0074,0.63,0.0345
2000,365,RUS,0.7213,0.0042,0.14,0,0.14,0.0122,0,0,0,0,0,0,0,0,0,0,0.1211,0.0011
2005,365,RUS,0.7213,0.0042,0.14,0,0.14,0.0122,0,0,0,0,0,0,0,0,0,0,0.1202,0.002
2010,365,RUS,0.7423,0.0014,0.1157,0,0.1157,0,0,0,0,0,0,0,0,0,0,0,0.1404,0.0002
1995,366,EST,0.4362,0.0011,0,0,0.0027,0.0003,0,0.0003,0,0,0.0004,0,0,0,0,0,0.5356,0.0234
2000,366,EST,0.2873,0.0023,0.0012,0,0.0012,0.0006,0,0.0001,0,0,0,0,0,0,0,0.001,0.5444,0.1631
2005,366,EST,0.2902,0.0018,0.0014,0,0.0014,0.0008,0,0.0002,0,0,0,0.0001,0,0,0,0.0023,0.6259,0.0772
2010,366,EST,0.2837,0.0013,0.0015,0,0.0015,0.001,0,0.0003,0,0,0,0.0001,0,0,0.0001,0.0037,0.6903,0.018
